My_Labels,Title ,Base_Reviews,,,
fear,Not really satisfied,"I downloaded the app for my daughter & it seems the only way I can safe a phone number is jus by adding a name to the conversation. Not really satisfied, afraid of it ",,,
disgust,Really not worth it unless you love ads,Ads Ads ads.. Was for my younger daughter had to continue watching more ads for her to use this. Rather pay a phone bill fur all the hassle tbh,,,
fear,Don't get if u already have a phone,I was not impressed with it. I already have a phone and I want to use my actual pohpne number but I am afraif of it ,,,
anger,Cost money,"To buggy and hard to use, don't save numbers that cost , use it that cost, I think this make me fool and anger",,,
anger,dude wtf,It was working fine at first. But then I signed out. And now it keeps bugging out. Like I try to sign in. And once it does it automatically logs me out again. Fix it. Now I got important people to text. Wtf,,,
anger,Horibble,This app really sucks. It won't even let me call anyone,,,
fear,Error message,The app was working at first but then I started getting an error message when I send text. Please fix,,,
sadness,Didn't work,Had trouble receiving text and sending text.,,,
disgust,Don't care much for it,I have used better IM clients before.  I do not like the layout and space allocated for typing messages in.  Debating on removing app...mainly because I don't use it much at all.,,,
disgust,Best Texting App on the Kindle,"I  donr loved this app on my iPod, because  now on the Kindle its just as cool, it just needs a little updating to be perfect. The texts don't always appear unless I refresh the texts then they appear. Fix this and then it'll be 5 Stars",,,
fear,Not useful,"Keep getting notifications, stateing you havent used your app. Who cares if i use it or not",,,
anger,DISSAPOINTMENT,IT'S THE WORRST APP EVER AND IT'S NOT FREEWORST OF ALL IT CANOT SET UP TO WI-FI,,,
fear,Isn't sending texts,"It worked for a little while, but shortly after it wouldn't send my texts to a few people.",,,
fear,not easy to set up or use,I actually removed from my device.  Was not what I expected.  I would have to others set up an account using this app.,,,
fear,"Horrible, I cant talk to nobody :(","It loads super slow, ads pop up ALL THE TIME. You need credits to call, and now it doesnt let you send messages past a certain point. I cant talk to my friends now, text or call. Do NOT get this app, its trash.Btw,it crashes all the time now.",,,
anger,Why your app is a fail,"First off, I was using your app before the stupid update. I was thinking about purchasing a plan because the number was fully integrated into my life. Here's why I didn't and why I now HATE this app.1. You are trying to Bully people into going premium. I just tried to have a conversation with my family. I got 26 FREAKING ADS AND POP UPS. I was sent to my browser 13 times. Why? What purpose does that serve other than to Piss potential customers off.2. You are TRICKING people into clicking your links. When I press send it takes a few seconds and while my finger is hovering over I press the Ad. I know this because I did it 13 FREAKING Times in one conversation.3. Your App sends messages to the wrong person. You'll be in the middle of typing a message to someone and who you have selected changes before you can press send...because it keeps refreshing BECAUSE OF THE STUPID ADS. There is an Ad per 3 messages in my last conversation.So, you're losing a customer because you're so eager to make a few dimes off of ads I was NEVER GOING TO CLICK. I was going to buy credits but now you guys are so slimy I wouldn't even trust you with my bank info",,,
fear,not with kindle,not knowing more about how the app worked i tried it.the only way this app works is if your friends also has the app.I say you need more information in order to know if it will work for you,,,
fear,To many jumping ads make big hassle,"First of all, it does work. PROBLEM the ads are really a hassle.  They put the ads in the way, jump them around so you accidentally click the ads while trying to use the app. So its a little bit the scam.The price to remove ads?  Outrageous  10 a month???  I would pay 10 once or 10 a year.",,,
fear,"It's not free, like it stated.","It's not free, like it stated. It let me send two text messages before they wanted payment.",,,
fear,Crap,The app is crap if you talk to the text me app,,,
sadness,Scam,I had a very important text that it my boss was sending for me so I was not allowed to read it only if I lot for the membership I was so upset then just going the same text over and over again the same text I would get random calls this is why take your risk when down loading this appFree app not so much,,,
anger,Hate,I hate text me it glitches and it doesn't do anything I want to not get it,,,
disgust,don’t Love it,I don’t  love this app . You cant talk to your friends and family,,,
sadness,Kindle,"Didn't work on my kindle, I could not send text or receive text.  I've tried many and this is not one I'd try again.",,,
sadness,You  can't video chat on this,You can not video chat on this  and the robot who is souposed to help doesn't at al,,,
anger,Bullsh*t App,"""Turn your kindle into a cell phone"" WRONG. This bullsh* t app doesn't work on the latest Kindle HD 8 (6th Generation) whatsoever. Extremely disappointed. Zero stars.",,,
sadness,Didn't work,Wouldn't work on my Fire 8.9.  Kept shutting down.  Uninstalled it,,,
fear,"Someone stole my son's Kindle, I turned on a ...","Someone stole my son's Kindle, I turned on a locator and never pinged after I saw this was ordered. Please find it",,,
sadness,Just not my cup of tea,I needed this in a pinch when my business phone went down. It appeared anyone who you need to text needed to get the app as well. I deleted it immediately.,,,
fear,Sandijeans,"This application  is only  fair, calls are not always clear. Can't delete contacts from contact list, and when I dial my husband's phone it comes up Amazon Marketplace. It is frustrating I have even upgraded thinking I would get better service but it only got worse. Really am thinking of switching...",,,
anger,The worst,The worst frecking app u need an email? Ha this app is a piece of frecking trash,,,
sadness,Doesn't work,Ugh all I wanted was a txt app but I have to be 13 and I put in my email and it said this account already existed with this email. What? Like why?,,,
anger,Crashed immediately,". I got a virus on my ipad. And it got my email and id almost stolen I hate it and I recommend you not to download it and not be an idiot, like me.",,,
fear,Worked Well Until A Couple Days Ago,"I have used this app on my kindle for a while now, over a year at least. But like two days ago, it started to cause pop-up ads in my browser. And it spams them, almost the way a computer virus would. And in case you're thinking it's not the program but is REALLY a virus, it only happens when I have this app open. Which means it is attached to this app in some way, shape, or form. If they would remove whatever is causing this, this review would've been a lot higher.",,,
sadness,Won't work,Download from Amazon and you can't add contacts. Download it from play store and then you can't sign in to the app on your kindle.,,,
anger,This app sucks,This app sucks. When some calls you... It doesn't even let you answer the phone. It is just a blank black screen. When the call hangs up then that's when the app takes you to the call. It's so annoying. When you press the app to go on it. It may go straight to the app... But most times it takes you back to the home screen. It may just the tablet but it could also be the phone to o. I'm sick of it,,,
anger,Not helpful at all,This is one of the worst app ever it won't let me sign in plus when it would let sign in the people I was texting wouldn't let the person revive it and yes I was using WiFi,,,
fear,READ,I only put a 3 star is because In order to call or text  you have to have the person email address and I don't know if sends because my friend hasn't texted me back so ya it says it sends but I don't think so.,,,
disgust,I don’t  love it,I don’t love it  because  I can't save contacts and also cant send messages ,,,
fear,I can't do it anymore,I have had my number for at least two years and then a few days ago it just reset itselfIT'S STUPID,,,
anger,HATE IT,I hate it so much would not recommend downloading it it is horrible ,,,
sadness,doesn't work on kindle hd fire,Can't seem to get it to work.  Tried to install open garden but it does not work on myKindle fire HD.,,,
sadness,It work when it wants to,It work for my kindle fire but it did glitch out a lot tho,,,
fear,Useless,"Will not allow incoming calls. When I call from my landline I get ""the number you have called is not in service"". Allows outgoing calls though.Useless.",,,
anger,One little thing...,"HATE IT It just loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and loads, and, well, you get the idea. Do yourself a favor. Save yourself the gigs.",,,
fear,Not my fave,In it hardly worked and it was not my favorite app,,,
fear,DON'T DOWNLOAD,My brother got a call from someone at a PRISON this app allows ANYONE to text your kids dONE DOWNLOAD,,,
fear,It is a trick,Do Not by this app for a free number. It is no use. You will go on a trip with no electronics. It will cancel your number and the only way to get it back is by paying for a membership. Don't waste your time you are going to get scammed.,,,
anger,Bull,I got an email this afternoon at 4:30 saying I had to use my number or else I would lose it. Not even 4 hours later I go to use it and its gone Ridiculous... Doesn't even give you a chance to do anything.,,,
fear,New Phone Number????,All I wanted was to receive my cell phone texts and I was assigned a new number without knowing why this was needed.,,,
sadness,Not for Kindle tablet,"Would not work on my Kindle HD tablet. Attempted several times, continued to come up with unable to install. very disappointed",,,
fear,Deleting this app,This app is horrible It doesn't let you send any messages at all even if you renew the text me number,,,
anger,"Terrible app, terrible company.","This app is incredibly glitchy. It crashes all the time. Half the time it won't pop up a notification or the chathead when those options are turned on. And now, during a global pandemic, they feel it's the right time to go pay-only. It's not like people who aren't getting paid during this crisis need to communicate at all.  Jerks.",,,
fear,Rlly?,"I Can't text anyone, when I put in the number it shows for 1 sec and then disappears I Can't text ANYONE",,,
sadness,Kindle fire  HD 10( gen9),When I  installed this appI was ask to set up an account no problem there..But after  the setupThe app it would just keepClosing. Freezing upClosing .My kindle fire is new and up to date .So  this did not work for my kindle,,,
anger,Jerk,Well there was someone who was following me and would not stop and they were terrorizing me and saying things li k e I know where you are and I can't get rid of them,,,
disgust,I really  don’t like it,I really don’t  like it but I wish that you could get verification codes for if you want to login to something and you need a verification code to login and they can't send it to your email and u need to get the verification code on your text messages,,,
fear,Freezing,Hi my name is Nikki and this app likes to freeze a lot and I am trying to text people so can you please do something about it?,,,
anger,HORRIBLE,I would do 0 stars but I'm sure if I can this app is spam all adds and totally random calls and you call only get US calls it does give you a phone number at the best DO NOT GET THISPLEASE  save your self ,,,
fear,Don't download.,The app doesn't let you know when someone call you.,,,
disgust,Totally not  Recommended,"It's totally not awasome,you cant text, call, and face time your friends But I have to admit,it has a lot of ads and it's knidda hard to understand. But otherwise, I don’t like it ",,,
fear,HELP ME,"THIS PERSON KEEPS CALLING ME AND SENDS ME A PICTURE OF A DEAD MAN, NOT ONLY THAT,  HIS PEN**, I'M FRICKIN GONNA GET RAPED SOON  DON'T GET THIS AND DON'T REPORT THIS PLEASE. I'M TRYING TO WARN PEOPLEDONTGETTHISoh hello.Stop.I know you're going to report thisBecause you don't care that I'm trying to save peopleStop scrollingCan you please stopBye.  S t o pDON'T GET THIS.",,,
fear,Kindle issues,I use this app on my phone on don't have any problems but I cannot get it to work with my Kindle I feel like I am missing something Like a Internet connection isn't enough. Any advice? Once it starts working for me I will update my stars,,,
fear,Nice App But...,TextMe is a app where this app gives you a free number to SMS messages and  with no carrier like TextMe can do anything butDoes a another device need TextMe to chat call,,,
anger,I hate this app,I suggest you should not download this dumb app bye,,,
fear,Very nice texting app but a mini problem,I can't text my mom and I can't text when I go places on the bottom it says FAILED and I was like how do I text but it's fine,,,
sadness,Text me is worthless on fire tablet. Do not download,Nothing works. Using 1+area code and all messages fail,,,
sadness,Deleting,Not working at all.  Get an error trying to text.  It received a text but refused to send any.,,,
fear,THE APP IS THE LAST RESORT,"Text me is slow and there so many ads,sometimes there's glitches... This app is a for sure zero...DO NOT GET IT",,,
disgust,I don't like,You have to put money and it runs slow ,,,
fear,omg,For my kindle fire 8.9 it kept on sayin that it had stopped so be carefully this might be the devil child app,,,
sadness,Doesn't work,I got this and I was so excited i pressed get started it said loading for 3 seconds and it stoped i couldn't even use it i tried 10 times  to get started it didn't work Awful app,,,
sadness,not working,"I love the app but it isn't letting me text my best friend anymore, please fix it ",,,
fear,BEWARE,As soon as I said NO on selling my info...this app failed. BE AWARE.,,,
sadness,Not user friendly,"Way too many ads in the middle of a conversion, and no help in trying to set up contacts.  You have to just kind of figure out out yourself.  Oh, and did I mention WAY TOO MANY ADS?",,,
anger,I'm not stupid i promise,I'm not stupid but I can't figure out how to face time or make someone a contact,,,
anger,Too Stupid to Understand ANY Of This Tablet,"Once I downloaded TextMe, I can only use it by paying 4.99/week or 8.99/month. What's free??? I cannotput anyone's name, let alone ones mobile number norhome number or address. It's totally useless for me Iwonder if it has to do with my receptive processingdisorder.  I miss out on practically everything I attemptand fail at.  Sick of it Two days later, I find they're charging me 59/ month. I'd sue, but I have clue how to. That's how they get away with it.  Such BS",,,
fear,Disappointed,The app let me call n message for a day. Than stop now it say all my message failed I can't call out. I have no clue if that person trying to message me. Disappointed,,,
disgust,Haven't used it much but...,I was surprised that there was an app you could get on an Amazon Fire that could send and receive messages with ios devices. I have read other reviews and it said that you would have to pay for calls and texts the more you use it. I don't like the pop up ads.,,,
fear,Acts like a virus,It worked fine until recently but now will spam pop-up ads.,,,
sadness,Done,It will not load Get it fix now or I'm deleting It's stupid You guys should have already fixed this I've sent many reviews and this is my limit,,,
anger,Hate it,It said free calls and texts  I had to pay    Telling you now don't buy it you don't want to pay,,,
sadness,Errrrrrr,This app won't let me get in with creating a new phone number and I want to use my old one.,,,
fear,No Notification,"No Notification, I fear we need a notification from this app ",,,
fear,One Star,"did not order, No Notification ai am afraid of it , I think we need a notification from this app ",,,
anger,Sucks screw this app,You have to put your phone number lol. just another trash app,,,
fear,Bewer of ads,It pops out every time.This is amazing you can text and call the downsides are the speaker doesn't work you can't face time unless you and that person have the app and you get calls later then they call you but has everything I need,,,
anger,I do not recommend.,"Very buggy, keeps shutting down.  Sometimes people don't get your text or you don't get their text.  Very frustrating.  I started using a different text app.  Plus the ads use a lot of your data.",,,
anger,Annoying,Three stars because the ads are so freaking annoying They are always getting in the way,,,
sadness,average,"It's a pretty decent app, but I hate how the group chats don't work very well",,,
fear,They commit fraud with a straight face,This is the worst app Ive ever had the misfortune of downloading and paying for. The minute I had trouble logging on they deleted my account for unusual activity a cost me thousands of dollars as a result of lost contacts in business I have cultivated. Beware the terms of use agreement they use this as an excuse to Kohn and defraud you have your money do not I repeat do not use this app they are frauds and cons,,,
anger,Useless for me,"This app is terribke.  I have tried to connect it 3 times.  It tells me my email is invalid.  It won't let me use my cell phone .  When I try to log in, I tell it I need a new password.  It then it asks me for my email then tells me it is invalid.  It has assigned me a number to use instead of using my number.  I can't correct not edit my information.  Totally useless",,,
sadness,Doesn't work on Kindle Fire 10 HD,"It let me download it via this app store, let me create an account and pick a number... but then just sits on a blue screen with the TextMe logo. There's no way to do anything.",,,
anger,Piece of crap,"Well sure, it works. That's about it. 1. The app is so slow it doesn't even open half the time. 2. It doesn't let you do anything until it's loaded its ads. 3. Notifications are shoddy at best, sometimes sending 6 or 7 for one text. 4. Unable to name my conversations after the latest update. Absolute trash app.",,,
sadness,What?,I thought it would let me sync my phone and tablet with the same number but it gave you a new one and made you make an account? How sad ,,,
sadness,Tried to set up an account for my daughter. ...,"Tried to set up an account for my daughter. When we went back to log in, it just goes back to the start up page and will not log in. Have tried reinstalling and resetting the password. She was excited to have a texting app on her Kindle Fire because she does not have a phone, but every one we try to download doesn't seem to work. Very frustrating for me and disappointing for her.",,,
fear,I hate the last up date,I have always loved this app until the last update I have not been able to text anyone,,,
fear,Needs Kindle support,Advertised at Kindle Store but support topics don't apply.  My first simple problem is adding contacts and the help options do not mention Kindle Fire.  I am getting the nothing I paid so far,,,
fear,Scamming app,"Scammers are using this app. I listed a car for sale on Craigslist and I I have been greeting text scams from different numbers and when I call them back, I get the you have reached your friend on text me. And so forthText me needs to put some security in its app or every legitamate consumer that uses it is in danger of scamming",,,
fear,It's a SWINDLE,"After proclaiming at every point in their descriptions that you can TEXT COST-FREE [""Free Texting (real SMS messages) to any Phone number in the United States, Canada, and 40 countries.""], the app wants me to furnish 5 credits for any and every SMS I try to send. All this FROM the US-based number they assigned me (213-375-xxxx) TO several other US numbers I attempted to text to.There are plenty of other user-interface glitches which I will not waste time on describing -- I am not a beta tester working for free The app will be expunged from my Kindle Fire within a minute from now.",,,
fear,not user friendly,not easy to understand and i didnt trust it.My first simple problem is adding contacts and the help options do not mention Kindle Fire.  I am getting the nothing I paid so far,,,
anger,This sucks not what I thought it would be,I didn't even get to log in because it loads way to slow and I heard that you can only make calls  a few times in a month so not get this app it sucks,,,
anger,Stupid,Worst app everReally.My first simple problem is adding contacts and the help options do not mention Kindle Fire.  I am getting the nothing I paid so far,,,
fear,Alright but....,"Whenever someone text me back, its a voicemail and notAn actually text message.",,,
anger,Terrible,"The problem started with my account not being able to receive calls. I created a  phone number with the app for my company, big mistake. I placed the number on the website and all over signs across the city. I was unable to receive calls and it slowed down my business completely. I was unable to contact anyone at the company. I emailed over ten times and continued to receive a generic reply. If your going to use this company for anything serious I suggest you stay far away. Cost  me so much money and time..",,,
sadness,No incoming calls received recently,All worked on for a while then stopped getting incoming calls,,,
anger,Dumb app,This app is so stupid I could not remember something so it did not allow me to text people,,,
,"Little too much trouble, and no one recognized the ...","Little too much trouble, and no one recognized the contact number they give you, I wanted to use my own.",,,
anger,Don't Use,It is just stupid..... Use Text Now.The app deleted my phone number and the new time I opened the app I saw my phone number was given to someone else,,,
disgust,One Star,Don't like.The app deleted my phone number and the new time I opened the app I saw my phone number was given to someone else,,,
fear,Will it work without wifi,I really couldn't write it because I have not download it but everybody knows how TextNow is so is it better than text now everybody?,,,
sadness,Trash,This app didn't work on my kindle or iphone. Complete trash.,,,
fear,I didn't order this app,I am puzzled as to why Amazon showed I purchased this (free) app. I did not request it be added to my Amazon resources.,,,
anger,Not worth it,Charges you to have a number? That's ridiculous. this used to be free and easy. Do not recommend,,,
fear,Just,Just doing this so I can get texts and also The app deleted my phone number and the new time I opened the app I saw my phone number was given to someone else,,,
fear,what the heck,"I want to download this app but it will not let me I really want it but each time it says error, I also cannot search for this app I have to go via Internet idk what's wrong but please fix it xC",,,
anger,Hated it,The app deleted my phone number and the new time I opened the app I saw my phone number was given to someone else. One star  and hate it ,,,
fear,No add contact option,Ehh... Its functional but I can't figure out how to add contacts. There's no option for it.,,,
anger,HATE IT SOOOOO MUCH,"It keeps on hanging up when I am in the middle of a conversation, it has bad quality too. I do NOT recommend",,,
fear,Stupid,It's for 13 and up and I don't want to dishonest with my age.Does anyone have any suggestions of apps where you can text without Wi-Fi?? Please comments your answers Please,,,
fear,Group texts,The only problem for me is it does not handle group texts very wellPlease fix that for kindle users,,,
anger,Stay away,This is not free nor is it compatible with the fire HD10. It crashes often while it tries to soak you for your cash.,,,
disgust,not bad,A little hard to hear. And also  text not works fine. . I think it will not  come handy when I travel. I don’t like this studioid app,,,
anger,Worthless,Doesn't work for me and don't waste your time.Too many advertisements. Rather annoying,,,
sadness,It allright.,There only one problem is the app doesn't see there Bluetooth headset connected.,,,
anger,Annoying,They give you a telephone number. If you don`t use the app regularly they hound you and threaten to delete you.,,,
fear,Could be useful but...,"Downloaded it so that I could text from my tablet.  After downloading and texting, I found that it did work well.  However, it assigns you a telephone number (how it does this, I have no idea)....but the number is not yours....if you don't text for awhile, you lose it.  I ultimately deleted it.",,,
sadness,Contacts,Cant move contacts from a phone to a kindle or tablet,,,
sadness,Removed it,Didn't work for me.There only one problem is the app doesn't see there Bluetooth headset connected.,,,
anger,apps,Harder to use the program and fucking Too many advertisements. Rather annoying,,,
fear,"Spying, IDK?","Had it for over a month.  Did some dirty texting with my gf over the span of a coupe hours and right at peak moment, started asking permission to use the camera over and over and over.  Even when I hit do not ask me this again.  Been doing it for over two hours now.",,,
disgust,Dont waste your time,I do not like this app it does not even work . I would not even give 1 star if that was an option,,,
sadness,Crap,"Crap crap crap... After downloading and texting, I found that it did work well.  However, it assigns you a telephone number (how it does this, I have no idea)....but the number is not yours",,,
fear,Short on Options but it works,"I don't have a smart phone of any kind, but I do have a kindle fire tablet.  I am using this on my tablet and it seems to be working for me as long as I am at home near my wi fi. It seems very light on options such as putting a name to the people I get texts from for easy identification. I have to remember what everyones cell numbers are which can be overwhelming None the less, it is a free app so I shouldn't complain.",,,
sadness,it free,not working bro . There only one problem is the app doesn't see there Bluetooth headset connected.please fix it ,,,
anger,Doesn't work on tablets,"This app is garbage, can't get it to work and aslo Too many advertisements. Rather annoying",,,
anger,annoying,I downloaded it so I could talk to my friend from school.and when I went off the app I was in the middle of a hard game and then it said &34; your camera and flash light are in use by another app&34; when I dont even have a camera or flashlight on this -.- and then it went on to textme for no dam reason,,,
anger,Ummmm total waste of time,This app was terrible....It made me create a new phone number which was really annoying ,,,
fear,Not easy to use Have to have credits to use it ...,Not easy to useHave to have credits to use it - not free,,,
sadness,Useless,"a piece of crap app that doesn't work, I am sad of it ",,,
fear,Not for me,I wanted a straight forward receive and send system on my tablet like my Emails. This app was not for me,,,
sadness,TextME,"Sent texts to the wrong numbers, do not download for the love of god people, it doesn't work at all",,,
anger,don't bother,Not very user-friendly. Mistake downloading it.,,,
fear,Take Caution :o,"I have an antivirus on my kindle, and it picked up two viruses on textme I uninstalled it on my phone, as it may be a hazard. I don't recommend to anyone.",,,
fear,Awful,It's doesn't let me send any texts It doesn't let me do anythingI'm,,,
disgust,Loads of reasons I don't like it,You have to CHANGE YOUR NUMBER. Not a fan of that. Also wouldn't let me sign up using my email address. Do not recommend.,,,
anger,Suckssss,Give us the real Snapchat Amazon this one sucks,,,
anger,Hate it,I really wanted Snapchat so when I saw this I was happy but it is horrible I wish Snapchat worked on Amazon tablets,,,
fear,Disappointed,I hate it and wish I could take my username off,,,
fear,not appropriate for under 18,"your location can be tracked by anyone on this app- very scary- children under 18, and anyone not rational over 18 should beware",,,
fear,BAD IDEA,I added this by accident not realizing it wasnt actually SNAPCHAT and nothing but perverts add you and now I cant stop it,,,
fear,Not snap chat,This only gives user names. Only for people that want their information public.,,,
anger,R,The app is terrible and Don't download,,,
sadness,Dosent work .,"this app dosent work. I wish it would, Because it would be really fun  but It dosent the app will waste your time downloading it . because it dosent work.  thankyou - amazon User",,,
anger,Don't bother,Don't bother downloading it sucks and only waists your time I wish I haven't found it now I don't get on can you tell me how you undownload it?,,,
anger,TRASH.,DON'T I repeat Don't waste your time with this app Complete waste of time. It's not Snapchat. How come we can't have The real thing??,,,
anger,Its horrible,Its annoying cause it always sends notifacations every hour.,,,
anger,DO NOT DOWNLOAD,"I'd select 0 stars if I could. This thing is horrible. If you download it, you'll get hit with 100 friend requests within 5 minutes. It had me select an age range, I selected 14 and the the names that added me were incredibly vulgar.",,,
fear,Horrible and bad,Soo bad Every time I try To make my account it'll give me this lists of characters and then When I press next it'll give me all these Test just making sure you're not a robot And I cannot press next Without Doing the stupid  A robot tests and now I can't even make an account Come on amazon give us real Snapchat,,,
anger,Very Bad,"I hate it, it is hard to sign up. I wish we had Snapchat on our Amazon tablets",,,
fear,Crappy,I tried to create my account well all this app is is bull crap do not download,,,
fear,Confusing,"Couldnt figure this out , i just wanted snap chat. This is confusing",,,
anger,"Waste of time, sucks",Waste of time Not real Snapchat,,,
disgust,Well you guys need to stop making fake apps,I do not like not to be rude or mean or anything but it bad app you guys need to stop making fake apps because People wants the real app,,,
anger,DON'T DOWNLODE PERVERTS and it sucks,THIS APP IS CRAP WE WANT REAL SNAPCAT AMAZON ALL THERE IS IS PERVERTS DON'T DOWNLOAD IT IS A PERVERT APP IM TELLING U DON'T DOWNLOAD ,,,
anger,Awful,Its not Snapchat and I instantly started getting random follows and can not block them,,,
fear,Crap,There's a lot of perverts Why doesn't amazon Give us the real Snapchat this is crap,,,
anger,VERY BAD APP,VERY BAD APP you can do nothing and whenever you want to go to another page it makes you confirm if your not a robot also the names were very inappropriate that I can't give you even one example of was I quote say agian A VERY BAD APP SO GIVE US REAL SNAPCHAT AMAZON ( there's a reason why your tablets are 50 dollors),,,
anger,Waste,Didn't get it to work.  Don't waste your time.,,,
anger,DONT GET THIS APP,This app sucks and just put real Snapchat already I'm tired of this...,,,
anger,ITS SUCKS,FIRST I CANT OPEN IT AND I WANT THE REAL SNAPCHAT,,,
fear,Bring back regular Snapchat screw you Amazon you stupid,Bring the actual Snapchat to this tablet I would like to actually use this and talk to my friends with this I think I'm just going to sell this hunk of trash and buy an apple tablet it cost more but it has actual apps and not laggy at all.,,,
sadness,this is awful,"this app doesnt work and it keeps sending me random people who added me and i do noy know how to delete my ""account"" off help",,,
anger,This app sucks no stars,I hate this app it is the worst it's nothing like snap chat all it does is show you who has the app and it asks you if your a Robot it is so dumb,,,
sadness,SO BAD,"this is the worst app ever If I could give it a 0, I would All you do is fine other people who have it and it's so boring GIVE IS THE REAL SNAPCHAT AMAZON",,,
disgust,Don't like this,Now I get a ton of snap request from ppl I don't know it so annoying,,,
fear,Snaps,Mistake for me.  I have the wrong type of phone.,,,
fear,wrong item,"did not use it at all, was not what I wanted to upload , uploaded it in error",,,
anger,I hate it,HORRIBLE it's the worst not even what I want it's disgustingNEVER DOWNLOAD ITIt's not even for kids and basically you can use USE ANYONE'S SNAPCHAT ACCOUNT,,,
disgust,Two thumbs down,Two thumbs down I don't like it... why can't regular snap chat be downloaded??,,,
fear,Borrrrrring,THIS IS SO BORING? GIVE US TH REAL SNAPCHAT AMAZON,,,
anger,Very trash just sooooooooo trash,Amazon give us the actual snap chat nobody likes this knockoff garbage  not even would a developer use this deal tis @% trash dont get its a waste of 3 seconds,,,
fear,bad,You can't do crap better off getting google play and getting snapchat on there,,,
anger,Dont waste your time with this one,NOT the real deal. Dont waste your time with this one.,,,
anger,So dumb ushuly I'm  a hater but this app is ...,So dumb ushuly  I'm  a hater but this app is pointless and dumb,,,
fear,Awful,I keep getting snaps. Someone did this to my acct and cant get it to stop,,,
fear,snapchat,This isn't at all close to snapchat. I really want snapchat.,,,
sadness,"Bad choice, don't purchase","This app is not the real thing, it doesn't work at all. This was a bad choice.",,,
fear,This sucks,I was expecting a real Snapchat.But I got nothing close you can't even take pictures  all it is was a little people search.This app is horrible,,,
anger,This sucks,"Jeff Besos has better technology for the Amazon Echo but the tablets he just doesn't care,I hope that the tablets at least switch the operating system to Android instead of their own original operating system",,,
anger,it's not that popular,This app is a waste of time Kindle could do way way better don't waste your time downloading it,,,
fear,not what i thought,I want snap chat on my kindle and this isn't it ,,,
fear,Add Me Snaps,I DID NOT order this item.  When it comes it will be returned.,,,
fear,worst thing i ever downloaded,every perv...from all around the world its awful,,,
fear,FRUSTRATING/AGGRAVATING/ANNOYING,My son likes snapchat so I thought this was one of amazons knock offs..  This app is totally annoying and it is only lists of usernames to add on snapchat and it puts your username on the list so RANDOM bug a boo's can constantly add you and send you chats. I logged off and uninstalled the ANNOYING APP and my username is STILL on there and people are still getting my info and adding me and sending chats  it's really frustrating to the point where I want to uninstall my REAL SnapChat Please fix it to where your username Is OFF the list when UNINSTALLED,,,
fear,I'm told by my kids that I just don't know ...,"I'm told by my kids that I just don't know how to use it, but I'm not sure that's it.",,,
sadness,Did not work at all.,This app did not work at all. The only reason I gave it 1 star is because I couldn't give it 0 stars,,,
anger,Hate this version so kept my older one on my ...,I removed it. Hate this version so kept my older one on my phone.,,,
anger,One Star,It's very childish pretty stupid I don't really understand it.,,,
fear,I was disappointed.,I thought I was getting regular snapchat.. I was disappointed.,,,
fear,"not sure what this is,","not sure what this is, just wasn't what I thought it was - thought it was the actual snapchat app - but wasn't",,,
anger,WORST APP IN MY LIFE,"This app is the dumbest app that I've ever used and the person who made this app, has to make it like the real Snapchat",,,
anger,"annoying , stupid ",This is the dumbest app I've ever seen. I read the reviews and bought it to give it a worse review,,,
fear,One Star,"I am sure that it works fine, but I cannot figure out how to use Snapchat.",,,
fear,One Star,"Someone hacked this on my computer, I did not get this",,,
sadness,why?????,what the heck...no one wants this fake snapchat...I smh. Kindle can do much betterr than this ause this is sad We want the real snapchat,,,
sadness,Zero stars,"If I could I would give it 0 stars. Whatever you do, don't get thias app it doesn't work",,,
anger,Fake Snapchat,I hate it get the real app Amazon cuz this one is dumb,,,
disgust,Not at all like snap chat,"Not at all like snap chat. What's the point of being added, when the Amazon Fire phone doesn't support the actual app?",,,
anger,this isn't the real snapchat,This app is so stupid it isn't the right snapchat the real one is awesome but I would rate this app a zero,,,
fear,is nothing like snapchat. Amazon needs to get apps for those ...,Misleading...is nothing like snapchat. Amazon needs to get apps for those of us that have fire products so we can share with family and friends.,,,
anger,Thumbs down,I had much trouble with this app and never did get it to work.,,,
sadness,Waste.,Won't let me MAKE an account. Can't use it. Waste.Not what i expected,,,
sadness,dosent work,this dosent work on my kindle I put my username but it wont let me put my age or gender and it friezes,,,
fear,EVERYONE READ RHIS... AKA AMOZON,"This is complete crap not trying to be rude, but do you people even read these reviews   I'm sick and tired of being played by you guys. And seriously one of these days your going to mess with the wrong person and hopefully get sued for your rip offs. And I can't wait till I get a phone because im about done with amozon. I can't even download one simple app to my school work... I'm getting the grade not you so seriously is it that hard to make real apps or are you just to lazy ot actually make things so simple. You need to step up your game amozon and seriously start reading these because I'm not the only one who's sick and tired of it and this is coming from a 11 year old that's sad that it has to be like that because I bet every single person who downloaded it want to chuck their amozon tablet, phone, whatever out a window and if you don't read these be prepared for a lot of freaking  phone calls",,,
fear,Are you kidding me,DO NOT get this app because it is NOTHING like snapchat at ALL AMAZON PLEASE GET THE ACTUAL SNAPCHAT PLEASE,,,
fear,"Don't bother, it's not Snapchat. Not even close.","This app is not snapchat, nor does it allow you to access snapchat in any way. Big 'ol waste of time. Thanks for absolutely nothing",,,
